Unique_vin;condition;year;make;model;trim;body;transmission;state;odometer;color;interior;seller;mmr;sellingprice;sale_time;Day_of_week;sale_date;Price_category;mileage_category;Car_type
kmhgh4jh3du064689;43;2013;Hyundai;Equus;Ultimate;Sedan;automatic;ca;11566;white;beige;hyundai buybacks;36800;25000;12:00:00;Tue;Dec 16 2014;cheap;low_mileage;new
kmhtc6ae3du146243;42;2013;Hyundai;Veloster;Turbo;Hatchback;automatic;ca;8467;black;black;hyundai motor america/co car;15050;16300;12:00:00;Tue;Dec 16 2014;cheap;low_mileage;new
jn1cv6ap0dm714516;4;2013;Infiniti;G Sedan;G37 Journey;G Sedan;automatic;ca;15260;silver;black;nissan infiniti lt;23800;24500;12:30:00;Thu;Dec 18 2014;cheap;low_mileage;new
jn1cv6ap2dm714792;41;2013;Infiniti;G Sedan;G37 Journey;G Sedan;automatic;ca;29731;white;beige;nissan infiniti lt;22100;21000;12:30:00;Thu;Dec 18 2014;cheap;low_mileage;new
kmhgc4dd2du221961;46;2013;Hyundai;Genesis;3.8;Sedan;automatic;ca;20952;silver;black;hyundai motor america/co car;18650;22200;12:00:00;Tue;Dec 16 2014;cheap;low_mileage;new
5npeb4ac7dh680813;38;2013;Hyundai;Sonata;GLS;Sedan;automatic;ca;40322;silver;gray;avis corporation;11900;12300;12:30:00;Tue;Dec 16 2014;cheap;low_mileage;new
jn1cv6apxdm714880;41;2013;Infiniti;G Sedan;G37 Journey;G Sedan;automatic;ca;17672;black;black;nissan infiniti lt;23500;21500;12:30:00;Thu;Dec 18 2014;cheap;low_mileage;new
jn1cv6ap3dm713554;37;2013;Infiniti;G Sedan;G37 Journey;G Sedan;automatic;ca;16486;black;black;nissan infiniti lt;23700;24000;12:30:00;Thu;Dec 18 2014;cheap;low_mileage;new
jn1cv6ap3dm712825;39;2013;Infiniti;G Sedan;G37 Journey;G Sedan;automatic;ca;13632;gray;gray;nissan infiniti lt;24000;22000;12:30:00;Thu;Dec 18 2014;cheap;low_mileage;new
5npdh4aexdh317398;1;2013;Hyundai;Elantra;GLS;Sedan;automatic;ca;41710;gray;gray;enterprise vehicle exchange / tra / rental / tulsa;11150;7700;12:00:00;Tue;Dec 16 2014;cheap;low_mileage;new
1n4al3ap2dc275940;44;2013;Nissan;Altima;2.5;Sedan;automatic;ca;44303;silver;black;enterprise vehicle exchange/orange;12550;13000;12:30:00;Wed;Dec 17 2014;cheap;low_mileage;new
jn1by1ap0dm513625;46;2013;Infiniti;M;M37;Sedan;automatic;ca;10808;—;black;nissan north america inc.;33900;33500;04:30:00;Thu;Jan 15 2015;medium;low_mileage;new
knagm4ad6d5055554;42;2013;Kia;Optima;EX Hybrid;Sedan;automatic;ca;19543;black;gray;kia motors america  inc;15900;16100;12:30:00;Tue;Dec 16 2014;cheap;low_mileage;new
jn1az4fh8dm790096;43;2013;Nissan;370Z;Base;Convertible;automatic;ca;445;silver;black;nissan north america inc.;29800;28750;12:30:00;Tue;Dec 16 2014;cheap;low_mileage;new
wmwzf3c54dt489938;37;2013;MINI;Cooper Clubman;Base;Hatchback;automatic;ca;36498;green;beige;avis rac/san leandro;13550;13600;12:30:00;Wed;Dec 17 2014;cheap;low_mileage;new
jn1az4eh8dm881810;38;2013;Nissan;370Z;Base;Coupe;automatic;ca;10506;black;black;nissan north america inc.;23600;21500;12:30:00;Tue;Dec 16 2014;cheap;low_mileage;new
1n4al3ap4dc259156;38;2013;Nissan;Altima;2.5;Sedan;automatic;ca;38395;white;black;merchants automotive group;12850;13100;12:30:00;Wed;Dec 17 2014;cheap;low_mileage;new
1n4al3ap5dn450766;45;2013;Nissan;Altima;2.5;Sedan;automatic;ca;48463;white;beige;wheels exchange llc;12350;14000;12:30:00;Wed;Dec 17 2014;cheap;medium_mileage;new
jm1bl1upxd1794194;2;2013;Mazda;Mazda3;i Sport;Sedan;automatic;ca;45649;black;black;jpmorgan chase bank n.a.;10250;10000;12:30:00;Tue;Dec 16 2014;cheap;medium_mileage;new
jm1cw2bl1d0154950;29;2013;Mazda;Mazda5;Sport;Minivan;automatic;ca;40275;gray;black;enterprise vehicle exchange/orange;12050;12200;12:30:00;Tue;Dec 16 2014;cheap;low_mileage;new
5xxgm4a7xdg239856;38;2013;Kia;Optima;LX;Sedan;null;ca;17689;purple;gray;kia motors finance;13900;14800;12:00:00;Tue;Dec 16 2014;cheap;low_mileage;new
4jgda5jb8da218923;5;2013;Mercedes-Benz;M-Class;ML350;SUV;automatic;ca;6536;silver;black;mercedes-benz finc services premier program;40400;42750;12:30:00;Thu;Dec 18 2014;medium;low_mileage;new
1n4al2ep3dc223558;34;2013;Nissan;Altima;2.5 S;Coupe;automatic;ca;36975;red;black;avis rac/san leandro;13000;13500;12:30:00;Wed;Dec 17 2014;cheap;low_mileage;new
wddgj4hbxdf967359;41;2013;Mercedes-Benz;C-Class;C250;Coupe;automatic;ca;16486;—;black;mercedes-benz financial services;25600;23500;04:30:00;Thu;Jan 15 2015;cheap;low_mileage;new
jn8as5mt1dw510445;44;2013;Nissan;Rogue;SV;SUV;automatic;ca;12194;gray;black;nissan motor acceptance corporation;16000;16250;12:30:00;Tue;Dec 16 2014;cheap;low_mileage;new
jn8ae2kp6d9060236;null;2013;Nissan;Quest;SL;Minivan;automatic;ca;22654;black;gray;alliance motor cars;23000;22800;12:00:00;Thu;Dec 18 2014;cheap;low_mileage;new
5yfbu4ee8dp220569;35;2013;Toyota;Corolla;S Special Edition;Sedan;automatic;ca;19377;gray;gray;toyota financial services;11850;12400;00:00:00;Tue;Dec 23 2014;cheap;low_mileage;new
3n1ab7ap0dl726200;36;2013;Nissan;Sentra;FE+ SV;Sedan;automatic;ca;36247;black;black;avis corporation;11000;11400;12:30:00;Tue;Dec 16 2014;cheap;low_mileage;new
5yfbu4ee2dp124615;null;2013;Toyota;Corolla;LE;Sedan;automatic;ca;42988;gray;gray;hertz/tra;10900;4000;13:00:00;Tue;Dec 16 2014;cheap;low_mileage;new
wbalx3c52cc528799;36;2012;BMW;6 Series;650i;Coupe;automatic;ca;24452;white;brown;l m auto wholesale;44800;44000;12:30:00;Thu;Dec 18 2014;medium;low_mileage;new
19uua8f23ca002640;41;2012;Acura;TL;Base;Sedan;automatic;ca;28395;gray;black;ahfc/honda lease trust/hvt  inc. eot;19200;20200;12:00:00;Thu;Dec 18 2014;cheap;low_mileage;new
wbakb8c56cc964045;49;2012;bmw;750li;750li;null;automatic;ca;17647;gray;black;financial services remarketing (lease);49000;49000;12:30:00;Thu;Dec 18 2014;medium;low_mileage;new
wba3a5c5xcf346666;41;2012;BMW;3 Series;328i;Sedan;automatic;ca;36617;black;black;financial services remarketing (lease);23900;23500;12:30:00;Thu;Dec 18 2014;cheap;low_mileage;new
wbalz3c53cdl72437;46;2012;BMW;6 Series;650i;Convertible;null;ca;42686;gray;black;financial services remarketing (lease);43300;41100;04:30:00;Thu;Jan 29 2015;medium;low_mileage;new
wbaxg5c53cdx03584;38;2012;BMW;5 Series;528i;Sedan;automatic;ca;59814;white;black;financial services remarketing (lease);26500;28000;12:30:00;Thu;Dec 18 2014;cheap;medium_mileage;new
jh4cu2f44cc006621;45;2012;Acura;TSX;Base;Sedan;automatic;ca;23568;white;gray;ahfc/honda lease trust/hvt  inc. eot;17450;19100;12:00:00;Thu;Dec 18 2014;cheap;low_mileage;new
wbakb8c53cc963094;47;2012;bmw;750li;750li;null;automatic;ca;32267;blue;gray;financial services remarketing (lease);45700;45000;12:30:00;Thu;Jan 15 2015;medium;low_mileage;new
wbaka4c55cc613607;43;2012;BMW;7 Series;740i;Sedan;automatic;ca;47390;black;black;financial services remarketing (lease);33100;34250;04:30:00;Thu;Jan 29 2015;medium;medium_mileage;new
wbadw7c50ce729202;27;2012;BMW;3 Series;328i;Convertible;automatic;ca;26285;gray;gray;financial services remarketing (lease);28800;26500;04:30:00;Thu;Jan 15 2015;cheap;low_mileage;new
3gyfnge34cs551059;35;2012;Cadillac;SRX;Base;SUV;automatic;ca;64568;black;gray;us bank;16350;15750;12:30:00;Thu;Dec 18 2014;cheap;medium_mileage;new
1g1pe5sc8c7272918;27;2012;Chevrolet;Cruze;LT Fleet;Sedan;automatic;ca;60360;white;black;jpmorgan chase bank n.a.;8300;8800;12:00:00;Thu;Dec 18 2014;cheap;medium_mileage;new
3fadp4ej1cm105661;37;2012;Ford;Fiesta;SE;Hatchback;manual;ca;36404;red;black;ford motor credit company llc pd;8700;8200;12:00:00;Thu;Dec 18 2014;cheap;low_mileage;new
1ftew1cm9ckd05952;46;2012;Ford;F-150;XLT;SuperCrew;null;ca;51189;gray;gray;ford motor credit company llc pd;19700;20200;12:00:00;Thu;Dec 18 2014;cheap;medium_mileage;new
1g1pf5sc5c7318718;42;2012;Chevrolet;Cruze;1LT;Sedan;automatic;ca;26691;white;gray;ge fleet services for itself/servicer;10450;11500;12:00:00;Tue;Dec 16 2014;cheap;low_mileage;new
1c3ccbab7cn236141;null;2012;Chrysler;200;LX;Sedan;automatic;ca;1;gray;black;santander consumer;10450;1300;13:00:00;Tue;Dec 16 2014;cheap;low_mileage;new
1fahp3k20cl268649;29;2012;Ford;Focus;SE;Hatchback;automatic;ca;63205;black;black;dtg operations inc;8525;8300;12:30:00;Wed;Dec 17 2014;cheap;medium_mileage;new
1c3cdzab0cn322185;38;2012;Dodge;Avenger;SE;Sedan;automatic;ca;63184;gray;black;dtg operations inc;7950;8000;12:30:00;Wed;Dec 17 2014;cheap;medium_mileage;new
2c4rc1bg5cr304885;null;2012;Chrysler;Town and Country;Touring;Minivan;automatic;ca;71067;white;black;hertz/tra;11950;4000;13:00:00;Tue;Dec 16 2014;cheap;medium_mileage;new
1ftne1ew7cda57433;2;2012;Ford;E-Series Van;E-150;E-Series Van;automatic;ca;46441;white;gray;enterprise vehicle exchange / tra / rental / tulsa;16000;11900;12:00:00;Tue;Dec 16 2014;cheap;medium_mileage;new
1fahp3f22cl294180;28;2012;Ford;Focus;SE;Sedan;automatic;ca;22548;black;gray;ford motor credit company llc pd;10500;10500;12:00:00;Thu;Dec 18 2014;cheap;low_mileage;new
5uxzv4c53cl762179;44;2012;BMW;X5;xDrive35i Premium;SUV;automatic;ca;48374;blue;gray;financial services remarketing (lease);35200;34750;04:30:00;Thu;Jan 29 2015;medium;medium_mileage;new
3fahp0ha9cr263531;27;2012;Ford;Fusion;SE;Sedan;automatic;ca;82128;silver;gray;wheels exchange llc;8275;9100;12:30:00;Wed;Dec 17 2014;cheap;medium_mileage;new
1g1pg5sc6c7329580;2;2012;Chevrolet;Cruze;2LT;Sedan;automatic;ca;62216;white;black;the hertz corporation/gm;9125;10000;12:30:00;Tue;Dec 16 2014;cheap;medium_mileage;new
3gnal3e50cs542737;25;2012;Chevrolet;Captiva Sport;1LT Fleet;SUV;automatic;ca;37049;white;black;the hertz corporation;11800;10000;04:00:00;Thu;Jan 29 2015;cheap;low_mileage;new
1g1za5e07cf312837;43;2012;Chevrolet;Malibu;LS Fleet;Sedan;automatic;ca;70402;white;gray;m/r motors inc;8200;9600;12:00:00;Thu;Dec 18 2014;cheap;medium_mileage;new
1fahp3e23cl410357;37;2012;Ford;Focus;S;Sedan;manual;ca;23903;blue;black;ford motor credit company llc;8475;8200;12:00:00;Thu;Dec 18 2014;cheap;low_mileage;new
1gcrcse01cz217074;36;2012;Chevrolet;Silverado 1500;LT;Extended Cab;automatic;ca;41875;black;black;wells fargo dealer services;19700;20100;12:00:00;Thu;Dec 18 2014;cheap;low_mileage;new
2g1wf5e34c1122872;36;2012;Chevrolet;Impala;LS Fleet;Sedan;automatic;ca;81991;black;black;exeter finance corp;7700;8200;12:00:00;Thu;Dec 18 2014;cheap;medium_mileage;new
1hgcp2f64ca037696;26;2012;Honda;Accord;SE;Sedan;automatic;ca;24390;black;black;ahfc/honda lease trust/hvt  inc. eot;13500;13000;12:00:00;Thu;Dec 18 2014;cheap;low_mileage;new
1hgcp2f32ca063476;37;2012;Honda;Accord;LX;Sedan;automatic;ca;53340;gray;gray;ahfc/honda lease trust/hvt  inc.;11100;12300;12:00:00;Thu;Dec 18 2014;cheap;medium_mileage;new
kmhec4a45ca055348;42;2012;Hyundai;Sonata Hybrid;Base;Sedan;automatic;ca;11427;blue;gray;hyundai motor finance;15000;16400;12:00:00;Tue;Dec 16 2014;cheap;low_mileage;new
1hgcp2f32ca042692;39;2012;Honda;Accord;LX;Sedan;automatic;ca;43775;black;beige;ahfc/honda lease trust/hvt  inc. eot;11550;13000;12:00:00;Thu;Dec 18 2014;cheap;low_mileage;new
5j6tf1h57cl001628;43;2012;Honda;Crosstour;EX-L;Hatchback;automatic;ca;25162;white;beige;ahfc/honda lease trust/hvt  inc. eot;19050;20200;12:00:00;Thu;Dec 18 2014;cheap;low_mileage;new
19xfb2f5xce366482;37;2012;Honda;Civic;LX;Sedan;automatic;ca;43894;black;gray;ahfc/honda lease trust/hvt  inc.;10750;12000;12:00:00;Thu;Dec 18 2014;cheap;low_mileage;new
5npeb4ac3ch290449;4;2012;Hyundai;Sonata;GLS;Sedan;automatic;ca;42665;blue;gray;hyundai motor america/co car;10800;11600;12:00:00;Tue;Dec 16 2014;cheap;low_mileage;new
kmhgc4dd2cu159668;34;2012;Hyundai;Genesis;3.8;Sedan;automatic;ca;74227;purple;beige;hyundai motor finance;12750;13800;12:30:00;Tue;Jan 13 2015;cheap;medium_mileage;new
1zvbp8am1c5212091;41;2012;Ford;Mustang;V6;Coupe;automatic;ca;64757;white;black;chrysler capital;12750;13250;12:00:00;Thu;Dec 18 2014;cheap;medium_mileage;new
1hgcp2f87ca065414;46;2012;Honda;Accord;EX-L;Sedan;automatic;ca;39312;black;black;ahfc/honda lease trust/hvt  inc. eot;14200;15800;12:00:00;Thu;Dec 18 2014;cheap;low_mileage;new
jn8as1mwxcm153862;35;2012;Infiniti;FX;FX35;SUV;automatic;ca;31204;black;beige;the hertz corporation;30000;26250;12:30:00;Tue;Dec 30 2014;cheap;low_mileage;new
5xykt3a13cg279841;48;2012;Kia;Sorento;LX;SUV;automatic;ca;81598;silver;black;kia motors finance;11150;11900;12:30:00;Tue;Jan 13 2015;cheap;medium_mileage;new
wmwsu3c57ct254519;4;2012;MINI;Cooper;Base;Hatchback;automatic;ca;39841;gray;—;bmw mini financial services;13200;13500;12:30:00;Thu;Dec 18 2014;cheap;low_mileage;new
wmwsu3c55ct256804;39;2012;MINI;Cooper;Base;Hatchback;automatic;ca;26366;white;—;bmw mini financial services;14300;14000;12:30:00;Thu;Dec 18 2014;cheap;low_mileage;new
sajwa4fb2clb47841;21;2012;Jaguar;XK;Base;Coupe;automatic;ca;9708;black;black;jpmorgan chase bank n.a.;48500;43200;12:30:00;Thu;Dec 18 2014;medium;low_mileage;new
wddgf4hbxca673179;35;2012;Mercedes-Benz;C-Class;C250 Sport;Sedan;automatic;ca;33699;white;black;mercedes-benz financial services;21700;21250;12:30:00;Thu;Dec 18 2014;cheap;low_mileage;new
wmwsv3c58cty26856;4;2012;MINI;Cooper;S;Hatchback;manual;ca;25071;blue;—;bmw mini financial services;16100;16750;04:30:00;Thu;Jan 15 2015;cheap;low_mileage;new
1yvhz8bh5c5m05184;31;2012;Mazda;Mazda6;i Sport;Sedan;automatic;ca;49626;black;black;jpmorgan chase bank n.a.;9600;10750;12:30:00;Tue;Dec 16 2014;cheap;medium_mileage;new
jn1cv6ek9cm422005;42;2012;Infiniti;G Coupe;G37;G Coupe;automatic;ca;44470;black;black;nissan infiniti lt;20300;22500;12:30:00;Thu;Dec 18 2014;cheap;low_mileage;new
jthbf5c25c5181152;36;2012;Lexus;IS 250;Base;Sedan;automatic;ca;13661;black;black;lexus financial services;22800;23000;12:30:00;Wed;Dec 17 2014;cheap;low_mileage;new
jn1cv6ek4cm422185;35;2012;Infiniti;G Coupe;G37;G Coupe;automatic;ca;33491;gray;black;nissan infiniti lt;21600;23250;12:30:00;Wed;Dec 17 2014;cheap;low_mileage;new
wmwsu3c56ct257122;36;2012;MINI;Cooper;Base;Hatchback;automatic;ca;26865;blue;—;bmw mini financial services;13750;14250;04:30:00;Thu;Jan 15 2015;cheap;low_mileage;new
wmwsu3c56ct257413;37;2012;MINI;Cooper;Base;Hatchback;automatic;ca;43544;blue;—;bmw mini financial services;12900;12300;12:30:00;Thu;Dec 18 2014;cheap;low_mileage;new
jn1cv6ap2cm623102;33;2012;Infiniti;G Sedan;G37 Journey;G Sedan;automatic;ca;32906;gold;beige;nissan infiniti lt;21400;21000;12:30:00;Thu;Dec 18 2014;cheap;low_mileage;new
wmwsu3c53ct263928;45;2012;MINI;Cooper;Base;Hatchback;automatic;ca;28376;red;black;bmw mini financial services;14150;14000;12:30:00;Thu;Dec 18 2014;cheap;low_mileage;new
4a32b2ff6ce016184;41;2012;mitsubishi;galant;fe;null;automatic;ca;66882;red;black;dtg operations inc;7925;8400;12:30:00;Tue;Dec 16 2014;cheap;medium_mileage;new
1n4al2ap5cn547233;35;2012;Nissan;Altima;2.5 S;Sedan;automatic;ca;61267;red;black;sama california auto export inc;9925;9800;12:30:00;Tue;Dec 16 2014;cheap;medium_mileage;new
1n4al2ap5cn576568;29;2012;Nissan;Altima;2.5 S;Sedan;automatic;ca;53958;blue;black;santander consumer;10300;10000;12:00:00;Thu;Dec 18 2014;cheap;medium_mileage;new
3n1bc1cp0ck808394;25;2012;Nissan;Versa;1.8 S;Hatchback;automatic;ca;32712;silver;black;exeter finance corp;8750;8100;15:00:00;Tue;Dec 30 2014;cheap;low_mileage;new
1n4al2ap8cc153673;43;2012;Nissan;Altima;2.5 S;Sedan;automatic;ca;26506;white;tan;nissan-infiniti lt;12900;14750;12:30:00;Tue;Dec 16 2014;cheap;low_mileage;new
1n4al2ap4cn404113;44;2012;Nissan;Altima;2.5 S;Sedan;automatic;ca;45196;black;black;nissan-infiniti lt;11700;12200;12:30:00;Wed;Dec 17 2014;cheap;medium_mileage;new
1n4al2ap8cn474181;44;2012;Nissan;Altima;2.5 S;Sedan;automatic;ca;13853;white;gray;nissan-infiniti lt;13750;13250;12:30:00;Tue;Dec 16 2014;cheap;low_mileage;new
1n4al2ap1cc177703;38;2012;Nissan;Altima;2.5 S;Sedan;automatic;ca;65320;—;black;nissan-infiniti lt;10350;10250;12:30:00;Tue;Dec 16 2014;cheap;medium_mileage;new
1n4al2apxcn453946;42;2012;Nissan;Altima;2.5 S;Sedan;automatic;ca;74249;white;black;nissan motor acceptance corporation;9775;10250;12:30:00;Tue;Dec 16 2014;cheap;medium_mileage;new
ja4ap4au5cz004435;39;2012;Mitsubishi;Outlander Sport;SE;SUV;automatic;ca;28647;gray;black;first investors servicing corp;11300;11200;12:30:00;Tue;Dec 16 2014;cheap;low_mileage;new
jn8as5mt5cw259184;29;2012;Nissan;Rogue;S;SUV;automatic;ca;41350;red;black;santander consumer;13000;14000;12:00:00;Thu;Dec 18 2014;cheap;low_mileage;new
1n4al2ap3cn413739;41;2012;Nissan;Altima;2.5 S;Sedan;automatic;ca;6265;black;gray;nissan-infiniti lt;14250;13000;12:30:00;Tue;Dec 16 2014;cheap;low_mileage;new
wbafr7c52bc807666;27;2011;BMW;5 Series;535i;Sedan;automatic;ca;47803;gray;—;financial services remarketing (lease);27600;26000;04:30:00;Tue;Jan 06 2015;cheap;medium_mileage;new
wbake5c57be755504;38;2011;BMW;3 Series;328i;Coupe;automatic;ca;21150;white;gray;financial services remarketing (lease);21600;22250;12:30:00;Thu;Dec 18 2014;cheap;low_mileage;new
wbadw7c50be728159;24;2011;BMW;3 Series;328i;Convertible;automatic;ca;31572;white;—;financial services remarketing (lease);25800;23500;12:30:00;Tue;Dec 16 2014;cheap;low_mileage;new
wbaph5g53bnm77885;42;2011;BMW;3 Series;328i;Sedan;automatic;ca;42886;white;beige;financial services remarketing (lease);18050;18000;04:30:00;Thu;Jan 29 2015;cheap;low_mileage;new
wbake5c54be755489;27;2011;BMW;3 Series;328i;Coupe;automatic;ca;30517;black;black;financial services remarketing (lease);20500;19750;04:30:00;Thu;Jan 15 2015;cheap;low_mileage;new
wvwhp7an0ce531482;37;2012;Volkswagen;CC;Lux Limited PZEV;Sedan;automatic;ca;26245;black;black;mckenna volks;16550;16500;12:30:00;Wed;Dec 17 2014;cheap;low_mileage;new
yv4952bz9c1125705;48;2012;Volvo;XC70;3.2;Wagon;automatic;ca;27057;white;black;smith volvo inc;26300;26750;12:30:00;Tue;Dec 16 2014;cheap;low_mileage;new
wvgav7axxcw001891;1;2012;Volkswagen;Tiguan;SE;SUV;automatic;ca;15750;—;beige;vw credit;16950;13900;12:00:00;Tue;Dec 16 2014;cheap;low_mileage;new
wbafr7c57bc805654;46;2011;BMW;5 Series;535i;Sedan;automatic;ca;21645;black;black;financial services remarketing (lease);30800;34500;12:30:00;Thu;Dec 18 2014;medium;low_mileage;new
5yfbu4ee3cp012064;32;2012;Toyota;Corolla;S;Sedan;automatic;ca;46204;gray;black;toyota financial services;11450;10900;13:00:00;Wed;Dec 17 2014;cheap;medium_mileage;new
jn1dv6ap5bm830893;35;2011;Infiniti;G Sedan;G25;G Sedan;automatic;ca;39834;white;gray;nissan infiniti lt;16700;17000;12:30:00;Thu;Dec 18 2014;cheap;low_mileage;new
3fadp4bj1bm111964;41;2011;Ford;Fiesta;SE;Sedan;automatic;ca;73147;silver;black;star ford lincoln;6500;6800;12:30:00;Tue;Dec 16 2014;cheap;medium_mileage;new
1fdne1bw5bda95550;38;2011;ford;e150;wagon v8 xlt;null;automatic;ca;70945;white;gray;vpsi  inc;10950;14400;12:30:00;Wed;Dec 17 2014;cheap;medium_mileage;new
3fahp0ha9br274978;19;2011;Ford;Fusion;SE;Sedan;automatic;ca;96063;gray;gray;repo remarketing/schools first fcu;7225;5400;12:30:00;Wed;Dec 17 2014;cheap;medium_mileage;new
2fmdk3jc7bbb29890;23;2011;Ford;Edge;SEL;SUV;automatic;ca;37826;black;tan;ford motor credit company llc;17800;17300;12:00:00;Thu;Dec 18 2014;cheap;low_mileage;new
1gc1kyc8xbf134853;3;2011;Chevrolet;Silverado 2500HD;LTZ;Crew Cab;automatic;ca;113585;white;beige;tradewinds remarketing;30300;30000;12:00:00;Tue;Dec 16 2014;cheap;high_mileage;new
5npdh4ae6bh052914;39;2011;Hyundai;Elantra;GLS PZEV;Sedan;automatic;ca;42419;silver;gray;wells fargo dealer services;10050;11700;12:00:00;Thu;Dec 18 2014;cheap;low_mileage;new
2fmdk4kc9bbb55301;43;2011;Ford;Edge;Limited;SUV;automatic;ca;31519;black;black;ford motor credit company llc pd;22500;23300;12:00:00;Thu;Jan 08 2015;cheap;low_mileage;new
5xyzh4ag6bg087225;4;2011;Hyundai;Santa Fe;SE;SUV;automatic;ca;34104;blue;black;hyundai buybacks;14550;12400;12:00:00;Tue;Dec 16 2014;cheap;low_mileage;new
2g1wf5ek3b1251790;26;2011;Chevrolet;Impala;LS Fleet;Sedan;automatic;ca;79243;gray;gray;santander consumer;7225;8100;12:00:00;Thu;Dec 18 2014;cheap;medium_mileage;new
2ctalmec9b6320096;45;2011;GMC;Terrain;SLE-1;SUV;automatic;ca;41811;black;gray;donlen corporation;14050;15500;12:00:00;Thu;Dec 18 2014;cheap;low_mileage;new
1g1jc5sh3e4152858;null;2014;Chevrolet;Sonic;LT;Sedan;automatic;ca;9379;white;black;avis rac/san leandro;10400;9800;12:00:00;Tue;Dec 16 2014;cheap;low_mileage;new
2c4rc1bg1er269524;null;2014;Chrysler;Town and Country;Touring;Minivan;automatic;ca;16402;silver;black;avis rac/san leandro;19850;15100;12:00:00;Tue;Dec 16 2014;cheap;low_mileage;new
1g11h5sl7ef225787;1;2014;Chevrolet;Malibu;LTZ;Sedan;automatic;ca;20545;gray;black;enterprise vehicle exchange / tra / rental / tulsa;16000;12000;12:00:00;Tue;Dec 23 2014;cheap;low_mileage;new
1g1pg5sb0e7333392;28;2014;Chevrolet;Cruze;LTZ;Sedan;automatic;ca;9648;white;black;honda of santa maria;15150;12500;04:00:00;Thu;Jan 22 2015;cheap;low_mileage;new
2c3cdxbg4eh240616;null;2014;Dodge;Charger;SE;Sedan;automatic;ca;29951;white;black;enterprise vehicle exchange / tra / rental / tulsa;15450;6500;13:00:00;Tue;Dec 16 2014;cheap;low_mileage;new
